ros_time_sec,ros_time_nsec,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,O_dP_EE_d_vx,O_dP_EE_d_vy,O_dP_EE_d_vz,O_dP_EE_d_wx,O_dP_EE_d_wy,O_dP_EE_d_wz,O_dP_EE_c_vx,O_dP_EE_c_vy,O_dP_EE_c_vz,O_dP_EE_c_wx,O_dP_EE_c_wy,O_dP_EE_c_wz
1762365594.000000000,679704904.000000000,0.557648400,0.303954448,0.158171379,0.992873454,-0.085436854,0.082788128,0.006642693,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365594.000000000,680884838.000000000,0.557666044,0.303860510,0.158150461,0.992869208,-0.085504956,0.082766599,0.006669269,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365594.000000000,682177066.000000000,0.557681012,0.303768347,0.158126451,0.992865577,-0.085568576,0.082742258,0.006695911,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365594.000000000,683817625.000000000,0.557715113,0.303586618,0.158086016,0.992857815,-0.085693796,0.082701899,0.006743810,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365594.000000000,686184883.000000000,0.557750039,0.303401322,0.158042547,0.992850193,-0.085822039,0.082656267,0.006794450,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365594.000000000,687861204.000000000,0.557787497,0.303214163,0.158004280,0.992841354,-0.085958964,0.082616331,0.006840669,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365594.000000000,689007520.000000000,0.557803527,0.303123559,0.157984192,0.992837416,-0.086022412,0.082595590,0.006865115,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365594.000000000,689738988.000000000,0.557822183,0.303025861,0.157963222,0.992833400,-0.086088348,0.082572948,0.006891648,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365594.000000000,691939353.000000000,0.557853882,0.302839886,0.157923109,0.992825549,-0.086217484,0.082528542,0.006940074,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365594.000000000,700660705.000000000,0.557867558,0.302745509,0.157897911,0.992821660,-0.086284752,0.082502877,0.006965465,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365594.000000000,700681447.000000000,0.557897917,0.302554739,0.157853343,0.992814009,-0.086414494,0.082454801,0.007016683,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365594.000000000,700692176.000000000,0.557932182,0.302365975,0.157816037,0.992805360,-0.086549211,0.082413548,0.007064661,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365594.000000000,700701236.000000000,0.557948583,0.302270658,0.157796268,0.992801280,-0.086614789,0.082391569,0.007090534,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365594.000000000,700710058.000000000,0.557980703,0.302082676,0.157757896,0.992793211,-0.086742959,0.082349571,0.007141234,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365594.000000000,700964212.000000000,0.557994119,0.301988603,0.157738864,0.992789146,-0.086807895,0.082327904,0.007167125,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365594.000000000,702700376.000000000,0.558017414,0.301797015,0.157690480,0.992781707,-0.086936984,0.082276429,0.007223673,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365594.000000000,705007076.000000000,0.558045212,0.301607625,0.157647751,0.992774012,-0.087062746,0.082231541,0.007277524,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365594.000000000,706774473.000000000,0.558071048,0.301413914,0.157603331,0.992766055,-0.087195419,0.082181969,0.007334381,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365594.000000000,708779335.000000000,0.558090958,0.301226618,0.157556738,0.992758928,-0.087319194,0.082131513,0.007391426,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
